---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.FileName = "LTOE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.pz
 4.541536942675167e+000   9.568192892754086e-001  -2.321708416749945e-001   1.229009771693074e-001
 4.554222292993639e+000   9.753271878486297e-001  -2.337344032882516e-001   1.221114238304313e-001
 4.566907643312110e+000   9.901660724904343e-001  -2.356862274886944e-001   1.187945200744567e-001
 4.579592993630581e+000   1.001865387325564e+000  -2.379906657710558e-001   1.132662384208192e-001
 4.592278343949053e+000   1.011031626226831e+000  -2.405724660749355e-001   1.060533339544012e-001
 4.604963694267524e+000   1.018240262696641e+000  -2.433154237989965e-001   9.779694816005284e-002
 4.617649044585996e+000   1.023937253013646e+000  -2.460794201317368e-001   8.914983827393191e-002
 4.630334394904467e+000   1.028420669175005e+000  -2.487221493530201e-001   8.068972446718667e-002
 4.643019745222938e+000   1.031913283431448e+000  -2.511219758912847e-001   7.287848351386982e-002
 4.655705095541410e+000   1.034638948700666e+000  -2.532018955095894e-001   6.605282781174908e-002
 4.668390445859881e+000   1.036839390704197e+000  -2.549409897089081e-001   6.041055132322876e-002
 4.681075796178353e+000   1.038767179411491e+000  -2.563699896623914e-001   5.600531891663911e-002
 4.693761146496824e+000   1.040690220743875e+000  -2.575578943619998e-001   5.276759756125941e-002
 4.706446496815295e+000   1.042894569031043e+000  -2.585951526929819e-001   5.054846082069245e-002
 4.719131847133767e+000   1.045670827966762e+000  -2.595812446907816e-001   4.916517057061740e-002
 4.731817197452238e+000   1.049281186439262e+000  -2.606143827399710e-001   4.843394989602737e-002
 4.744502547770710e+000   1.053901883388831e+000  -2.617756061095177e-001   4.818781500282694e-002
 4.757187898089181e+000   1.059537229917470e+000  -2.631042927082267e-001   4.828208712075547e-002
 4.769873248407652e+000   1.065909311364728e+000  -2.645656918944335e-001   4.859000546718718e-002
 4.782558598726124e+000   1.072318098858551e+000  -2.660120122919957e-001   4.899398333752027e-002
 4.795243949044595e+000   1.077488675380227e+000  -2.671442234242608e-001   4.937601041372604e-002
 4.807929299363067e+000   1.079414236059711e+000  -2.674758038015779e-001   4.960704951520897e-002
 4.820614649681538e+000   1.075247553465704e+000  -2.663092606518790e-001   4.953621861493347e-002
 4.833300000000009e+000   1.061272985317867e+000  -2.627308032099403e-001   4.898372379884956e-002
