---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.FileName = "LANK.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
 4.490795541401282e+000   6.954903166368950e-001  -2.083880800492635e-001   7.340496306346073e-002
 4.503480891719753e+000   7.315048416133069e-001  -2.061787802054426e-001   7.428993939912439e-002
 4.516166242038224e+000   7.635646731112424e-001  -2.042939235198253e-001   7.536648219546757e-002
 4.528851592356696e+000   7.913308505130881e-001  -2.028511397947534e-001   7.614624184297114e-002
 4.541536942675167e+000   8.146691735186739e-001  -2.019150025220801e-001   7.624692817751611e-002
 4.554222292993639e+000   8.336874665522084e-001  -2.014913725427442e-001   7.546776889828041e-002
 4.566907643312110e+000   8.487396305797931e-001  -2.015263523487559e-001   7.382147281199114e-002
 4.579592993630581e+000   8.603761878346820e-001  -2.019164929556207e-001   7.151202316202183e-002
 4.592278343949053e+000   8.692564262705677e-001  -2.025287314516551e-001   6.886477139128915e-002
 4.604963694267524e+000   8.760370101261150e-001  -2.032263577903208e-001   6.621746038636107e-002
 4.617649044585996e+000   8.812573617434200e-001  -2.038989720233664e-001   6.382238778715756e-002
 4.630334394904467e+000   8.852724309283562e-001  -2.044864217336257e-001   6.181233527120629e-002
 4.643019745222938e+000   8.882981555094200e-001  -2.049787885281725e-001   6.022922586537986e-002
 4.655705095541410e+000   8.905366539230644e-001  -2.053969915117780e-001   5.906920429464287e-002
 4.668390445859881e+000   8.922358561553808e-001  -2.057745946412324e-001   5.830197575730607e-002
 4.681075796178353e+000   8.936557137552993e-001  -2.061499123650442e-001   5.787298397066016e-002
 4.693761146496824e+000   8.950471995213145e-001  -2.065659547955621e-001   5.771027817711000e-002
 4.706446496815295e+000   8.966697199188491e-001  -2.070713951350353e-001   5.773490545396189e-002
 4.719131847133767e+000   8.987890076305560e-001  -2.077191809427325e-001   5.787301265886918e-002
 4.731817197452238e+000   9.016382918435788e-001  -2.085522723891602e-001   5.807793578982359e-002
 4.744502547770710e+000   9.053684223118579e-001  -2.095841823806924e-001   5.834422950764870e-002
 4.757187898089181e+000   9.099841534280733e-001  -2.107951952426759e-001   5.868181464531064e-002
 4.769873248407652e+000   9.152510082900334e-001  -2.121267444213562e-001   5.907745443894450e-002
 4.782558598726124e+000   9.205717288654993e-001  -2.134496538076800e-001   5.948376866334802e-002
 4.795243949044595e+000   9.248543604024275e-001  -2.145217687181255e-001   5.982167726249768e-002
 4.807929299363067e+000   9.263785397976838e-001  -2.149508561207434e-001   5.997546531932853e-002
 4.820614649681538e+000   9.227023248634884e-001  -2.141723621509615e-001   5.978508692215095e-002
 4.833300000000009e+000   9.106368310410845e-001  -2.114450511056403e-001   5.904252780810292e-002
