---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.FileName = "TRNK1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.pz
 1.128882681564247e+000   6.348756868373319e-001  -1.887794472616728e-001   1.195963473543320e+000
 1.131061452513968e+000   6.562350673163132e-001  -1.881347491701880e-001   1.196022893401558e+000
 1.133240223463689e+000   6.776774170280865e-001  -1.874570032252741e-001   1.196240227379212e+000
 1.135418994413410e+000   6.991997705852420e-001  -1.867445793637479e-001   1.196606248115607e+000
 1.137597765363130e+000   7.207981892502595e-001  -1.859970176068391e-001   1.197111231076052e+000
 1.139776536312851e+000   7.424678885884192e-001  -1.852148643041916e-001   1.197745087611745e+000
 1.141955307262572e+000   7.642032248681969e-001  -1.843996729324262e-001   1.198497415138568e+000
 1.144134078212293e+000   7.859976585663416e-001  -1.835539965166450e-001   1.199357602995265e+000
 1.146312849162013e+000   8.078438816602322e-001  -1.826811828930422e-001   1.200314991975988e+000
 1.148491620111734e+000   8.297337890886908e-001  -1.817853519133874e-001   1.201358989400142e+000
 1.150670391061455e+000   8.516584714876400e-001  -1.808713197883638e-001   1.202479292257725e+000
 1.152849162011176e+000   8.736083373209135e-001  -1.799444532865416e-001   1.203666011215148e+000
 1.155027932960896e+000   8.955730886084775e-001  -1.790106587201247e-001   1.204909847543102e+000
 1.157206703910617e+000   9.175417858746601e-001  -1.780763169414122e-001   1.206202294368702e+000
 1.159385474860338e+000   9.395030006545715e-001  -1.771481824370249e-001   1.207535647413927e+000
 1.161564245810059e+000   9.614448682142706e-001  -1.762333642942604e-001   1.208903178344182e+000
 1.163743016759779e+000   9.833552844190509e-001  -1.753392198463220e-001   1.210299198215320e+000
 1.165921787709500e+000   1.005222065874225e+000  -1.744732447494773e-001   1.211718980854664e+000
 1.168100558659221e+000   1.027033120562588e+000  -1.736429687365386e-001   1.213158884342106e+000
 1.170279329608942e+000   1.048776691253115e+000  -1.728557554396487e-001   1.214616257455314e+000
 1.172458100558662e+000   1.070441484766385e+000  -1.721186776800688e-001   1.216089310329283e+000
 1.174636871508383e+000   1.092016945849320e+000  -1.714382805734014e-001   1.217577121459037e+000
 1.176815642458104e+000   1.113493410970874e+000  -1.708204053765580e-001   1.219079419038331e+000
 1.178994413407825e+000   1.134862154685118e+000  -1.702701225468835e-001   1.220596446889092e+000
 1.181173184357545e+000   1.156115614917924e+000  -1.697915046192089e-001   1.222128861924537e+000
 1.183351955307266e+000   1.177247325411792e+000  -1.693876716295018e-001   1.223677536911910e+000
 1.185530726256987e+000   1.198251903517742e+000  -1.690608092123323e-001   1.225243464442486e+000
 1.187709497206708e+000   1.219125177217463e+000  -1.688120912422721e-001   1.226827627222383e+000
 1.189888268156428e+000   1.239864030044874e+000  -1.686418486488617e-001   1.228430894193915e+000
 1.192067039106149e+000   1.260466378941317e+000  -1.685496071354333e-001   1.230053961913249e+000
 1.194245810055870e+000   1.280931195065967e+000  -1.685340936414254e-001   1.231697260784382e+000
 1.196424581005591e+000   1.301258294431295e+000  -1.685934125591550e-001   1.233360956550861e+000
