---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.FileName = "RLEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.pz
 1.155027932960896e+000   1.366741588540652e+000  -4.793469479615681e-001   7.789573761583283e-001
 1.157206703910617e+000   1.388509664725247e+000  -4.772999088042996e-001   7.839612608376467e-001
 1.159385474860338e+000   1.410118631112435e+000  -4.753911562503640e-001   7.886335382130717e-001
 1.161564245810059e+000   1.431581214109192e+000  -4.736278109142064e-001   7.929648061168637e-001
 1.163743016759779e+000   1.452909556079139e+000  -4.720158673217057e-001   7.969470098578960e-001
 1.165921787709500e+000   1.474115066469858e+000  -4.705602395247294e-001   8.005733454770280e-001
 1.168100558659221e+000   1.495208075947751e+000  -4.692645634638472e-001   8.038384265592324e-001
 1.170279329608942e+000   1.516197554231321e+000  -4.681311670096613e-001   8.067381969293718e-001
 1.172458100558662e+000   1.537091036299588e+000  -4.671611198113206e-001   8.092697983951388e-001
 1.174636871508383e+000   1.557894221479061e+000  -4.663540202330851e-001   8.114316555751856e-001
 1.176815642458104e+000   1.578610950353605e+000  -4.657080727370146e-001   8.132232802966507e-001
 1.178994413407825e+000   1.599243259941692e+000  -4.652201645524619e-001   8.146451481562641e-001
 1.181173184357545e+000   1.619791159409389e+000  -4.648857402592848e-001   8.156987021380391e-001
 1.183351955307266e+000   1.640252967313055e+000  -4.646990394962410e-001   8.163861588489897e-001
 1.185530726256987e+000   1.660625494895103e+000  -4.646532130500955e-001   8.167104411290733e-001
 1.187709497206708e+000   1.680904190577350e+000  -4.647403829588708e-001   8.166751941795243e-001
 1.189888268156428e+000   1.701083649428750e+000  -4.649519676265522e-001   8.162846921874750e-001
 1.192067039106149e+000   1.721157848884580e+000  -4.652788245506616e-001   8.155438487338930e-001
 1.194245810055870e+000   1.741120509259070e+000  -4.657114631718489e-001   8.144583198502893e-001
 1.196424581005591e+000   1.760965426386419e+000  -4.662402935261368e-001   8.130344916241775e-001
